Div,Date,HomeTeam,AwayTeam,Total_Goals_FT_HomeTeam,Total_Goals_FT_AwayTeam,FTR,Total_Goals_HT_HomeTeam,Total_Goals_HT_AwayTeam,HTR,Season
E0,1993-08-18,Man United,Sheffield United,3,0,H,,,,1993-94
E0,1993-08-18,Swindon,Oldham,0,1,A,,,,1993-94
E0,1993-08-25,Norwich,Ipswich,1,0,H,,,,1993-94
E0,1993-08-25,West Ham,Sheffield Weds,2,0,H,,,,1993-94
E0,1993-01-09,Man United,West Ham,3,0,H,,,,1993-94
E0,1993-01-09,Tottenham,Chelsea,1,1,D,,,,1993-94
E0,1993-11-24,Man United,Ipswich,0,0,D,,,,1993-94
E0,1994-08-24,Tottenham,Everton,2,1,H,,,,1994-95
E0,1994-08-31,Man United,Wimbledon,3,0,H,,,,1994-95
E0,1994-08-31,West Ham,Newcastle,1,3,A,,,,1994-95
E0,1994-12-16,Ipswich,Wimbledon,2,2,D,,,,1994-95
E0,1994-12-17,Arsenal,Leeds,1,3,A,,,,1994-95
E0,1994-12-17,Coventry,Newcastle,0,0,D,,,,1994-95
E0,1994-12-17,Crystal Palace,Norwich,0,1,A,,,,1994-95
E0,1994-12-17,Everton,Tottenham,0,0,D,,,,1994-95
E0,1994-12-17,Leicester,Blackburn,0,0,D,,,,1994-95
E0,1994-12-17,Man United,Nott'm Forest,1,2,A,,,,1994-95
E0,1994-12-17,Sheffield Weds,QPR,0,2,A,,,,1994-95
E0,1994-12-17,West Ham,Man City,3,0,H,,,,1994-95
E0,1994-12-18,Chelsea,Liverpool,0,0,D,,,,1994-95
